Country;Code;Year;Global Hunger Index (2021)
Afghanistan;AFG;2021;28.3
Albania;ALB;2021;6.2
Algeria;DZA;2021;6.9
Angola;AGO;2021;26
Argentina;ARG;2021;5.3
Armenia;ARM;2021;7.2
Azerbaijan;AZE;2021;7.5
Bangladesh;BGD;2021;19.1
Belarus;BLR;2021;2.5
Benin;BEN;2021;22.2
Bolivia;BOL;2021;12.7
Bosnia and Herzegovina;BIH;2021;2.5
Botswana;BWA;2021;23.2
Brazil;BRA;2021;2.5
Bulgaria;BGR;2021;6.1
Burkina Faso;BFA;2021;24.5
Burundi;BDI;2021;42.5
Cambodia;KHM;2021;17
Cameroon;CMR;2021;18.6
Cape Verde;CPV;2021;10.8
Central African Republic;CAF;2021;43
Chad;TCD;2021;39.6
Chile;CHL;2021;2.5
China;CHN;2021;2.5
Colombia;COL;2021;8.9
Comoros;COM;2021;42.5
Congo;COG;2021;30.3
Costa Rica;CRI;2021;5.3
Cote d'Ivoire;CIV;2021;22.3
Croatia;HRV;2021;2.5
Cuba;CUB;2021;2.5
Democratic Republic of Congo;COD;2021;39
Djibouti;DJI;2021;27.4
Dominican Republic;DOM;2021;8
Ecuador;ECU;2021;14
Egypt;EGY;2021;12.5
El Salvador;SLV;2021;8.9
Estonia;EST;2021;2.5
Eswatini;SWZ;2021;17
Ethiopia;ETH;2021;24.1
Fiji;FJI;2021;8.6
Gabon;GAB;2021;16.6
Gambia;GMB;2021;17.6
Georgia;GEO;2021;6.3
Ghana;GHA;2021;14.9
Guatemala;GTM;2021;19.6
Guinea;GIN;2021;27.5
Guinea-Bissau;GNB;2021;27.5
Guyana;GUY;2021;10.7
Haiti;HTI;2021;32.8
Honduras;HND;2021;12.8
India;IND;2021;27.5
Indonesia;IDN;2021;18
Iran;IRN;2021;7.7
Iraq;IRQ;2021;22.8
Jamaica;JAM;2021;8.6
Jordan;JOR;2021;8.3
Kazakhstan;KAZ;2021;6.4
Kenya;KEN;2021;23
Kuwait;KWT;2021;2.5
Kyrgyzstan;KGZ;2021;8.6
Laos;LAO;2021;19.5
Latvia;LVA;2021;2.5
Lebanon;LBN;2021;9.7
Lesotho;LSO;2021;27.4
Liberia;LBR;2021;33.3
Lithuania;LTU;2021;2.5
Madagascar;MDG;2021;36.3
Malawi;MWI;2021;21.3
Malaysia;MYS;2021;12.8
Mali;MLI;2021;24.7
Mauritania;MRT;2021;22.6
Mauritius;MUS;2021;12.2
Mexico;MEX;2021;8.5
Moldova;MDA;2021;5
Mongolia;MNG;2021;6.1
Montenegro;MNE;2021;2.5
Morocco;MAR;2021;8.8
Mozambique;MOZ;2021;31.3
Myanmar;MMR;2021;17.5
Namibia;NAM;2021;20.2
Nepal;NPL;2021;19.1
Nicaragua;NIC;2021;14
Niger;NER;2021;27.5
Nigeria;NGA;2021;28.3
North Korea;PRK;2021;25.2
North Macedonia;MKD;2021;2.5
Oman;OMN;2021;12.3
Pakistan;PAK;2021;24.7
Panama;PAN;2021;8.9
Papua New Guinea;PNG;2021;27.8
Paraguay;PRY;2021;7.5
Peru;PER;2021;8
Philippines;PHL;2021;16.8
Romania;ROU;2021;2.5
Russia;RUS;2021;6.2
Rwanda;RWA;2021;26.4
Saudi Arabia;SAU;2021;6.8
Senegal;SEN;2021;16.3
Serbia;SRB;2021;2.5
Sierra Leone;SLE;2021;31.3
Slovakia;SVK;2021;2.5
Solomon Islands;SLB;2021;18.8
Somalia;SOM;2021;50.8
South Africa;ZAF;2021;12.9
South Sudan;SSD;2021;42.5
Sri Lanka;LKA;2021;16
Sudan;SDN;2021;25.1
Suriname;SUR;2021;10.4
Syria;SYR;2021;42.5
Tajikistan;TJK;2021;15
Tanzania;TZA;2021;24.7
Thailand;THA;2021;11.7
Timor;TLS;2021;32.4
Togo;TGO;2021;23.7
Trinidad and Tobago;TTO;2021;8.9
Tunisia;TUN;2021;6
Turkey;TUR;2021;2.5
Turkmenistan;TKM;2021;9.7
Uganda;UGA;2021;27.5
Ukraine;UKR;2021;6.8
Uruguay;URY;2021;2.5
Uzbekistan;UZB;2021;5.9
Venezuela;VEN;2021;22.2
Vietnam;VNM;2021;13.6
Yemen;YEM;2021;45.1
Zambia;ZMB;2021;27.5
Zimbabwe;ZWE;2021;27.5
